| Model | Method | Dataset | mIoU | AuPRC | FPR95 |
|---|---|---|---|---|---|
| EoMT | MSP | Fishyscapes Static | - | 2.19 | 96.25 |
| EoMT | MAXLOGIT | Fishyscapes Static | - | 2.20 | 96.01 |
| EoMT | MAXENTROPY | Fishyscapes Static | - | 2.21 | 95.47 |
| EoMT | MSP | Fishyscapes Lost & Found | - | 0.25 | 94.32 |
| EoMT | MAXLOGIT | Fishyscapes Lost & Found | - | 0.25 | 93.78 |
| EoMT | MAXENTROPY | Fishyscapes Lost & Found | - | 0.26 | 93.50 |
| EoMT | MSP | RoadAnomaly | - | 11.22 | 95.61 |
| EoMT | MAXLOGIT | RoadAnomaly | - | 11.32 | 95.98 |
| EoMT | MAXENTROPY | RoadAnomaly | - | 11.44 | 94.75 |
| EoMT | MSP | RoadAnomaly21 | - | 12.27 | 97.62 |
| EoMT | MAXLOGIT | RoadAnomaly21 | - | 12.43 | 97.53 |
| EoMT | MAXENTROPY | RoadAnomaly21 | - | 12.67 | 96.84 |
| EoMT | MSP | RoadObsticle21 | - | 0.61 | 85.68 |
| EoMT | MAXLOGIT | RoadObsticle21 | - | 0.62 | 87.17 |
| EoMT | MAXENTROPY | RoadObsticle21 | - | 0.62 | 89.86 |
