rank,epoch,checkpoint,score,miou,mean_auprc,mean_fpr95,Fishyscapes Lost & Found/maxentropy/auprc,Fishyscapes Lost & Found/maxentropy/fpr95,Fishyscapes Lost & Found/maxlogit/auprc,Fishyscapes Lost & Found/maxlogit/fpr95,Fishyscapes Lost & Found/msp/auprc,Fishyscapes Lost & Found/msp/fpr95,Fishyscapes Lost & Found/rba/auprc,Fishyscapes Lost & Found/rba/fpr95,RoadAnomaly21/maxentropy/auprc,RoadAnomaly21/maxentropy/fpr95,RoadAnomaly21/maxlogit/auprc,RoadAnomaly21/maxlogit/fpr95,RoadAnomaly21/msp/auprc,RoadAnomaly21/msp/fpr95,RoadAnomaly21/rba/auprc,RoadAnomaly21/rba/fpr95,RoadObsticle21/maxentropy/auprc,RoadObsticle21/maxentropy/fpr95,RoadObsticle21/maxlogit/auprc,RoadObsticle21/maxlogit/fpr95,RoadObsticle21/msp/auprc,RoadObsticle21/msp/fpr95,RoadObsticle21/rba/auprc,RoadObsticle21/rba/fpr95
1,1,/content/run_ckpts/epoch_1_EoMT.pth,35.7585,,51.91,64.60,27.04,63.79,55.37,63.86,38.04,63.77,55.49,84.90,nan,100.00,55.67,99.65,54.93,99.30,51.57,99.67,nan,100.00,95.05,0.09,94.36,0.09,95.38,0.07
2,9,/content/run_ckpts/epoch_9_EoMT.pth,35.7421,,48.47,50.91,30.30,60.31,41.74,59.11,36.20,60.07,41.06,55.34,nan,100.00,50.89,46.42,52.64,47.63,37.31,81.75,nan,100.00,97.46,0.10,96.71,0.10,97.32,0.07
3,7,/content/run_ckpts/epoch_7_EoMT.pth,34.4487,,49.95,62.01,38.74,66.72,45.69,66.94,42.35,67.03,46.18,76.80,nan,100.00,53.95,74.26,57.72,73.08,34.48,99.90,nan,100.00,94.20,0.95,93.44,3.85,92.67,14.61
4,12,/content/run_ckpts/epoch_12_EoMT.pth,33.7290,,45.75,48.07,25.74,52.45,31.63,52.30,27.01,52.41,30.41,60.33,nan,100.00,53.14,43.08,54.72,43.22,38.78,72.37,nan,100.00,96.14,0.19,95.06,0.35,96.32,0.11
5,10,/content/run_ckpts/epoch_10_EoMT.pth,33.5477,,45.60,48.22,21.70,52.10,35.59,55.78,24.72,52.44,35.15,56.94,nan,100.00,49.49,46.46,48.62,47.35,39.32,67.32,nan,100.00,97.89,0.09,96.98,0.09,97.77,0.06
6,13,/content/run_ckpts/epoch_13_EoMT.pth,33.2098,,45.58,49.49,21.99,53.44,33.50,52.69,24.33,53.43,32.95,63.55,nan,100.00,55.22,43.23,53.76,48.41,43.37,76.58,nan,100.00,94.83,0.19,92.17,2.15,94.87,0.22
7,5,/content/run_ckpts/epoch_5_EoMT.pth,33.0156,,49.92,67.63,15.74,72.21,29.20,77.56,19.41,70.71,28.99,96.33,nan,100.00,74.50,97.62,73.38,97.64,69.74,99.30,nan,100.00,96.40,0.07,95.82,0.07,95.90,0.06
8,20,/content/run_ckpts/epoch_20_EoMT.pth,32.8052,,44.67,47.46,16.29,39.23,18.29,41.96,17.46,39.18,17.55,98.47,nan,100.00,62.98,35.99,63.06,46.46,51.21,67.63,nan,100.00,98.05,0.07,95.54,0.37,95.62,0.19
9,14,/content/run_ckpts/epoch_14_EoMT.pth,32.7123,,45.53,51.25,25.93,53.08,32.75,52.88,28.79,53.11,32.58,75.60,nan,100.00,53.42,38.11,52.17,47.40,40.59,90.00,nan,100.00,94.97,0.20,89.81,4.50,95.30,0.17
10,19,/content/run_ckpts/epoch_19_EoMT.pth,31.5473,,43.82,49.08,15.89,45.94,19.36,46.34,18.27,45.95,18.25,89.70,nan,100.00,58.86,36.39,58.70,38.08,47.96,85.96,nan,100.00,98.07,0.07,96.09,0.25,94.35,0.25
11,11,/content/run_ckpts/epoch_11_EoMT.pth,31.2410,,44.28,52.14,21.00,64.79,30.38,64.03,23.53,64.81,29.73,64.23,nan,100.00,49.91,47.54,47.99,47.03,39.15,72.90,nan,100.00,96.79,0.13,96.07,0.15,96.77,0.10
12,4,/content/run_ckpts/epoch_4_EoMT.pth,29.6950,,47.37,70.70,29.23,71.54,46.76,78.71,41.31,69.64,47.07,93.71,nan,100.00,44.16,99.16,44.50,98.96,35.53,99.67,nan,100.00,93.37,14.50,93.17,11.92,93.35,10.63
13,18,/content/run_ckpts/epoch_18_EoMT.pth,29.0179,,41.53,50.06,15.03,54.85,16.72,56.97,16.57,54.58,15.59,64.78,nan,100.00,52.79,38.08,52.07,40.36,42.63,90.27,nan,100.00,97.17,0.10,94.36,0.63,95.48,0.16
14,17,/content/run_ckpts/epoch_17_EoMT.pth,28.6419,,41.10,49.82,13.74,50.66,15.56,54.86,15.34,50.47,14.58,79.89,nan,100.00,53.35,34.92,53.03,38.46,41.75,86.90,nan,100.00,97.20,0.09,93.49,1.43,95.12,0.15
15,6,/content/run_ckpts/epoch_6_EoMT.pth,27.2350,,45.97,74.96,26.15,94.69,34.34,94.66,32.36,94.59,34.00,96.06,nan,100.00,49.99,100.00,52.10,99.16,39.84,100.00,nan,100.00,94.64,0.11,94.82,0.14,93.45,20.07
16,3,/content/run_ckpts/epoch_3_EoMT.pth,26.7806,,43.25,65.89,17.66,65.84,39.89,67.71,26.51,64.63,39.67,93.47,nan,100.00,37.38,99.69,37.21,99.14,31.97,99.98,nan,100.00,96.55,0.09,95.76,0.09,96.44,0.05
17,16,/content/run_ckpts/epoch_16_EoMT.pth,26.2373,,38.73,49.96,4.91,57.26,4.62,56.15,4.88,57.26,4.35,65.81,nan,100.00,55.79,41.98,51.39,48.21,48.81,72.26,nan,100.00,97.61,0.07,95.08,0.44,97.29,0.09
18,8,/content/run_ckpts/epoch_8_EoMT.pth,26.1138,,45.22,76.41,27.56,67.42,32.83,67.55,29.40,64.78,33.00,78.97,nan,100.00,54.15,81.07,56.69,78.60,38.02,97.68,nan,100.00,90.88,81.06,90.23,83.07,89.84,16.74
19,2,/content/run_ckpts/epoch_2_EoMT.pth,26.0142,,43.21,68.78,32.39,80.67,40.75,79.76,39.23,71.94,40.84,93.08,nan,100.00,27.54,100.00,29.07,99.98,22.54,99.69,nan,100.00,95.58,0.09,95.38,0.10,95.19,0.05
20,15,/content/run_ckpts/epoch_15_EoMT.pth,23.4435,,35.85,49.64,6.06,51.79,7.20,51.53,6.34,51.87,6.97,72.08,nan,100.00,42.16,39.90,41.16,42.48,32.53,84.02,nan,100.00,97.42,0.07,93.21,1.81,97.18,0.08
